#2019-09-21
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
13044147,46828613,,"云南·大理天主堂 建于1927，至今仍在使用

教堂就坐落在大理古城下关一静谧的胡同里，当我们步入窄窄的古色古香又充满白族建筑风格的小街时，就见一古朴中融合着我国传统和白族建筑艺术风格的教堂——圣三堂，它矗立在阳光下，显得格外明显。它的教堂建筑特色独一无二，是融当地白族文化特色、汉族与西方建筑及其他民族特色相融合于一身的一件民族瑰宝，飞檐斗拱，彩绘娟秀。它以建筑结构造型的独特风格、雕刻艺术之精湛、中西建...",2019-07-29 22:29:31,4,20,1
13044147,46822235,,"滨海的小山上的灯塔，澳大利亚。

拍摄：iPhone X
滤镜：VSCO HB1，C1",2019-07-29 21:57:21,2,16,1
13044147,46809598,,"云南·大理 日出时分的街道
滤镜：VSCO G3",2019-07-29 20:52:25,1,21,1
13044147,53055391,,广州YYYACG-A3漫展场照,2019-09-20 09:23:31,1,19,0
13044147,52982003,,广州YYYACG-A3漫展场照,2019-09-19 11:07:12,1,30,0
13044147,52936709,,广州YYYACG-A3漫展场照,2019-09-18 19:29:11,6,26,0
13044147,52899494,,广州YYYACG-A3漫展场照,2019-09-18 09:48:33,1,21,0
13044147,52897043,,广州YYYACG-A3漫展场照,2019-09-18 08:57:39,3,27,0
13044147,52816769,,广州YYYACG-A3漫展场照,2019-09-17 08:09:01,2,27,0
13044147,52769073,,"广州YYYACG-A3漫展场照
出镜：@bi夏sama",2019-09-16 16:53:31,1,18,0
13044147,52754173,,"好可爱的血小板妹妹！
广州YYYACG-A3漫展",2019-09-16 12:58:50,5,22,0
13044147,52751167,,广州YYYACG-A3漫展场照,2019-09-16 12:11:47,6,24,0
13044147,52745543,,广州YYYACG-A3漫展场照,2019-09-16 10:41:50,3,24,1
13044147,52740951,,广州YYYACG-A3漫展场照,2019-09-16 09:16:42,6,24,0
13044147,52656073,,广州YYYACG-A3漫展场照,2019-09-15 11:57:48,2,18,0
13044147,52607739,,广州YYYACG-A3漫展场照,2019-09-14 21:57:12,1,17,0
13044147,52605380,,广州YYYACG-A3漫展场照,2019-09-14 21:42:07,2,14,0
13044147,52535119,,广州YYYACG-A3漫展,2019-09-14 09:48:57,5,21,0
13044147,51955359,,深圳·深业上城 1,2019-09-08 09:02:44,1,20,2
13044147,51715514,,85mm练习,2019-09-05 17:03:04,2,16,0
13044147,47354542,,广州·北岛创意园,2019-08-02 16:36:48,1,16,0
13044147,47204940,,北京 O‘Steak法国餐厅（杰座大厦店）,2019-08-01 15:46:51,1,14,0
13044147,47204366,,北京·五道营胡同 “菀WǍN”越南餐厅,2019-08-01 15:42:37,1,16,0
13044147,47065865,,"崇阳县·路口镇 黄昏时分的上弦月和金星

2018年6月18日在老家随手的一拍，后来发现很好看（那时我还不认得这是金星）

iPhoneX拍摄；滤镜：VSCO ACG",2019-07-31 16:49:31,1,19,0
13044147,47061927,,"世界遗产·开平碉楼 之瑞石楼

滤镜：VSCO G3",2019-07-31 16:19:41,1,19,0
13044147,47009267,,"墨尔本 街头涂鸦 2018年6月

滤镜：VSCO HB2",2019-07-31 08:21:48,1,15,0
13044147,46878930,,"北京·三里屯  Café FLO 福楼啡凡 下午茶

滤镜：Foodie；VSCO ACG",2019-07-30 11:04:17,3,19,1
13044147,46838612,,"发电厂日落，德国某小镇。

4年前的暑假，14岁，在德国某个小镇拍摄。那个时候还没有自己的手机，拿着500万像素的iPod Touch拍下了这张照片。它也标志着我第一张严肃的摄影作品。使用VSCO C1滤镜。",2019-07-29 23:28:18,1,17,1
13044147,46835471,,"英国·牛津

这是我的大学，是我生活的地方。
一部分是Matriculation日拍的。",2019-07-29 23:12:06,11,18,1
13044147,46828613,,"云南·大理天主堂 建于1927，至今仍在使用

教堂就坐落在大理古城下关一静谧的胡同里，当我们步入窄窄的古色古香又充满白族建筑风格的小街时，就见一古朴中融合着我国传统和白族建筑艺术风格的教堂——圣三堂，它矗立在阳光下，显得格外明显。它的教堂建筑特色独一无二，是融当地白族文化特色、汉族与西方建筑及其他民族特色相融合于一身的一件民族瑰宝，飞檐斗拱，彩绘娟秀。它以建筑结构造型的独特风格、雕刻艺术之精湛、中西建...",2019-07-29 22:29:31,4,20,1
13044147,46822235,,"滨海的小山上的灯塔，澳大利亚。

拍摄：iPhone X
滤镜：VSCO HB1，C1",2019-07-29 21:57:21,2,16,1
13044147,46809598,,"云南·大理 日出时分的街道
滤镜：VSCO G3",2019-07-29 20:52:25,1,21,1
